date,Feature 1,date
1983-07-01,-1.539971362940964,1983-07-01
1983-08-01,-1.0834629640826199,1983-08-01
1983-09-01,0.7473400203507312,1983-09-01
1983-10-01,0.6237729972462783,1983-10-01
1983-11-01,-0.24485615339391614,1983-11-01
1983-12-01,-0.33696005373509397,1983-12-01
1984-01-01,0.6459546880537345,1984-01-01
1984-02-01,-0.3333974699249975,1984-02-01
1984-03-01,-1.3212370683044516,1984-03-01
1984-04-01,-0.8055295262602681,1984-04-01
1984-05-01,-1.942800278804259,1984-05-01
1984-06-01,-0.6395102410256495,1984-06-01
1984-07-01,0.47730987431685784,1984-07-01
1984-08-01,1.4475922484424897,1984-08-01
1984-09-01,0.5847674391713433,1984-09-01
1984-10-01,1.365205289145221,1984-10-01
1984-11-01,2.240040816354166,1984-11-01
1984-12-01,0.8132367575058863,1984-12-01
1985-01-01,0.6407706872023547,1985-01-01
1985-02-01,-0.42732284866887,1985-02-01
1985-03-01,-1.181213507013378,1985-03-01
1985-04-01,1.6319701666881044,1985-04-01
1985-05-01,2.078805641135624,1985-05-01
1985-06-01,2.308589863613902,1985-06-01
1985-07-01,-0.2384089299260298,1985-07-01
1985-08-01,-0.21650797966734173,1985-08-01
1985-09-01,0.0030398316978482182,1985-09-01
1985-10-01,0.5079834011833098,1985-10-01
1985-11-01,1.3975647846365193,1985-11-01
1985-12-01,1.7675192801732469,1985-12-01
1986-01-01,0.24042510824781488,1986-01-01
1986-02-01,1.3853037042488128,1986-02-01
1986-03-01,3.3423900549516246,1986-03-01
1986-04-01,2.1914565299250595,1986-04-01
1986-05-01,-1.7706618479999048,1986-05-01
1986-06-01,-0.3467431406185197,1986-06-01
1986-07-01,2.362237572069405,1986-07-01
1986-08-01,1.3038422814443122,1986-08-01
1986-09-01,-0.5605212429097088,1986-09-01
1986-10-01,0.36634388756973174,1986-10-01
1986-11-01,0.533333593198164,1986-11-01
1986-12-01,0.4325495768246285,1986-12-01
1987-01-01,0.3111981690949126,1987-01-01
1987-02-01,-0.6538676482981919,1987-02-01
1987-03-01,0.052633694293831614,1987-03-01
1987-04-01,-3.2480717737280544,1987-04-01
1987-05-01,-2.6590348003695787,1987-05-01
1987-06-01,0.9361425065505518,1987-06-01
1987-07-01,0.25915951535606624,1987-07-01
