date,GS7
2018-06-01,2.87
2018-07-01,2.85
2018-08-01,2.84
2018-09-01,2.96
2018-10-01,3.09
2018-11-01,3.04
2018-12-01,2.75
2019-01-01,2.61
2019-02-01,2.57
2019-03-01,2.47
2019-04-01,2.43
2019-05-01,2.29
2019-06-01,1.95
2019-07-01,1.93
2019-08-01,1.55
2019-09-01,1.64
2019-10-01,1.62
2019-11-01,1.74
2019-12-01,1.79
2020-01-01,1.67
2020-02-01,1.42
2020-03-01,0.78
2020-04-01,0.55
2020-05-01,0.53
2020-06-01,0.55
2020-07-01,0.46
2020-08-01,0.46
2020-09-01,0.46
2020-10-01,0.55
2020-11-01,0.63
2020-12-01,0.66
2021-01-01,0.77
2021-02-01,0.91
2021-03-01,1.27
2021-04-01,1.31
2021-05-01,1.28
2021-06-01,1.23
2021-07-01,1.07
2021-08-01,1.06
2021-09-01,1.16
2021-10-01,1.4
2021-11-01,1.45
2021-12-01,1.4
2022-01-01,1.7
2022-02-01,1.91
2022-03-01,2.15
2022-04-01,2.8
2022-05-01,2.92
2022-06-01,3.21
2022-07-01,2.97
2022-08-01,2.98
2022-09-01,3.64
2022-10-01,4.09
