date,GS1,GS1_CHG,GS2,GS2_CHG,GS3,GS3_CHG,GS5,GS5_CHG,GS7,GS7_CHG,GS10,GS10_CHG
1959-04-01,3.72,0.030470914127423976,,,4.03,0.015113350125944613,4.12,0.032581453634085156,,,4.12,0.032581453634085156
1959-05-01,3.96,0.06451612903225801,,,4.25,0.05459057071960283,4.35,0.055825242718446466,,,4.31,0.0461165048543688
1959-06-01,4.07,0.0277777777777779,,,4.52,0.06352941176470583,4.5,0.034482758620689724,,,4.34,0.006960556844547661
1959-07-01,4.39,0.07862407862407839,,,4.6,0.017699115044247815,4.58,0.017777777777777892,,,4.4,0.01382488479262678
1959-08-01,4.42,0.006833712984054774,,,4.6,0.0,4.57,-0.0021834061135370675,,,4.43,0.006818181818181612
1959-09-01,5.0,0.13122171945701355,,,4.97,0.08043478260869574,4.9,0.07221006564551424,,,4.68,0.05643340857787815
1959-10-01,4.8,-0.040000000000000036,,,4.78,-0.03822937625754519,4.72,-0.03673469387755113,,,4.53,-0.03205128205128194
1959-11-01,4.81,0.002083333333333215,,,4.85,0.01464435146443499,4.75,0.006355932203389925,,,4.53,0.0
1959-12-01,5.14,0.06860706860706856,,,5.12,0.05567010309278353,5.01,0.054736842105263195,,,4.69,0.03532008830022071
1960-01-01,5.03,-0.021400778210116655,,,4.99,-0.025390625,4.92,-0.017964071856287345,,,4.72,0.006396588486140553
1960-02-01,4.66,-0.07355864811133206,,,4.73,-0.05210420841683361,4.69,-0.04674796747967469,,,4.49,-0.048728813559321904
1960-03-01,4.02,-0.13733905579399153,,,4.29,-0.09302325581395354,4.31,-0.08102345415778267,,,4.25,-0.053452115812917644
1960-04-01,4.04,0.004975124378109541,,,4.27,-0.004662004662004726,4.29,-0.004640371229698292,,,4.28,0.007058823529411784
1960-05-01,4.21,0.04207920792079212,,,4.46,0.04449648711943799,4.49,0.046620046620046596,,,4.35,0.01635514018691575
1960-06-01,3.36,-0.20190023752969122,,,4.01,-0.10089686098654715,4.12,-0.08240534521158127,,,4.15,-0.045977011494252706
1960-07-01,3.2,-0.04761904761904756,,,3.63,-0.09476309226932667,3.79,-0.08009708737864074,,,3.9,-0.06024096385542177
1960-08-01,2.95,-0.078125,,,3.41,-0.06060606060606055,3.62,-0.04485488126649073,,,3.8,-0.02564102564102566
1960-09-01,3.07,0.04067796610169472,,,3.43,0.0058651026392961825,3.61,-0.002762430939226568,,,3.8,0.0
1960-10-01,3.04,-0.009771986970683932,,,3.53,0.02915451895043719,3.76,0.04155124653739617,,,3.89,0.023684210526315974
1960-11-01,3.08,0.013157894736842035,,,3.6,0.019830028328611915,3.81,0.013297872340425565,,,3.93,0.010282776349614497
1960-12-01,2.86,-0.07142857142857151,,,3.42,-0.050000000000000044,3.67,-0.036745406824147064,,,3.84,-0.022900763358778664
1961-01-01,2.81,-0.01748251748251739,,,3.39,-0.00877192982456132,3.67,0.0,,,3.84,0.0
1961-02-01,2.93,0.04270462633451966,,,3.46,0.020648967551622377,3.66,-0.0027247956403269047,,,3.78,-0.015625
1961-03-01,2.88,-0.017064846416382395,,,3.35,-0.03179190751445082,3.6,-0.016393442622950838,,,3.74,-0.01058201058201047
1961-04-01,2.88,0.0,,,3.33,-0.005970149253731294,3.57,-0.008333333333333415,,,3.78,0.010695187165775222
1961-05-01,2.87,-0.003472222222222099,,,3.23,-0.03003003003003002,3.47,-0.028011204481792618,,,3.71,-0.01851851851851849
1961-06-01,3.06,0.0662020905923344,,,3.63,0.12383900928792557,3.81,0.09798270893371752,,,3.88,0.04582210242587603
1961-07-01,2.92,-0.045751633986928164,,,3.59,-0.011019283746556474,3.84,0.007874015748031482,,,3.92,0.010309278350515427
1961-08-01,3.06,0.047945205479452024,,,3.76,0.0473537604456824,3.96,0.03125,,,4.04,0.030612244897959107
1961-09-01,3.06,0.0,,,3.73,-0.007978723404255317,3.9,-0.015151515151515138,,,3.98,-0.014851485148514865
1961-10-01,3.05,-0.0032679738562092497,,,3.62,-0.029490616621983934,3.8,-0.02564102564102566,,,3.92,-0.015075376884422176
1961-11-01,3.07,0.006557377049180246,,,3.61,-0.002762430939226568,3.82,0.0052631578947368585,,,3.94,0.005102040816326481
1961-12-01,3.18,0.03583061889250816,,,3.72,0.030470914127423976,3.91,0.023560209424083878,,,4.06,0.030456852791878042
1962-01-01,3.28,0.03144654088050314,,,3.76,0.010752688172043001,3.94,0.007672634271099765,,,4.08,0.0049261083743843415
1962-02-01,3.28,0.0,,,3.69,-0.018617021276595702,3.89,-0.012690355329949221,,,4.04,-0.009803921568627416
1962-03-01,3.06,-0.06707317073170727,,,3.45,-0.06504065040650397,3.68,-0.05398457583547556,,,3.93,-0.027227722772277252
1962-04-01,2.99,-0.02287581699346397,,,3.38,-0.020289855072463836,3.6,-0.021739130434782594,,,3.84,-0.022900763358778664
1962-05-01,3.03,0.013377926421404451,,,3.4,0.00591715976331364,3.66,0.016666666666666607,,,3.87,0.0078125
1962-06-01,3.03,0.0,,,3.39,-0.002941176470588225,3.64,-0.005464480874316946,,,3.91,0.010335917312661591
1962-07-01,3.29,0.08580858085808596,,,3.62,0.06784660766961648,3.8,0.0439560439560438,,,4.01,0.025575447570332477
1962-08-01,3.2,-0.027355623100303927,,,3.46,-0.04419889502762431,3.71,-0.023684210526315752,,,3.98,-0.007481296758104716
1962-09-01,3.06,-0.04375000000000007,,,3.41,-0.014450867052023031,3.7,-0.0026954177897573484,,,3.98,0.0
1962-10-01,2.98,-0.02614379084967322,,,3.33,-0.02346041055718473,3.64,-0.016216216216216273,,,3.93,-0.012562814070351758
1962-11-01,3.0,0.006711409395973256,,,3.4,0.02102102102102088,3.6,-0.01098901098901095,,,3.92,-0.0025445292620865922
1962-12-01,3.01,0.0033333333333331883,,,3.37,-0.008823529411764675,3.56,-0.011111111111111072,,,3.86,-0.015306122448979553
1963-01-01,3.04,0.00996677740863805,,,3.4,0.008902077151335286,3.58,0.00561797752808979,,,3.83,-0.007772020725388518
1963-02-01,3.01,-0.009868421052631637,,,3.39,-0.002941176470588225,3.66,0.022346368715083775,,,3.92,0.023498694516971286
1963-03-01,3.03,0.006644518272425293,,,3.41,0.005899705014749346,3.68,0.005464480874316946,,,3.93,0.0025510204081633514
1963-04-01,3.11,0.0264026402640265,,,3.5,0.02639296187683282,3.74,0.016304347826086918,,,3.97,0.010178117048346147
1963-05-01,3.12,0.003215434083601254,,,3.54,0.011428571428571344,3.72,-0.005347593582887722,,,3.93,-0.010075566750629705
1963-06-01,3.2,0.025641025641025772,,,3.61,0.0197740112994349,3.81,0.024193548387096753,,,3.99,0.01526717557251911
1963-07-01,3.48,0.08749999999999991,,,3.76,0.04155124653739617,3.89,0.0209973753280841,,,4.02,0.007518796992481036
1963-08-01,3.53,0.014367816091954033,,,3.77,0.0026595744680850686,3.89,0.0,,,4.0,-0.004975124378109319
1963-09-01,3.57,0.011331444759206777,,,3.82,0.013262599469495928,3.96,0.01799485861182526,,,4.08,0.020000000000000018
1963-10-01,3.64,0.019607843137255054,,,3.87,0.01308900523560208,3.97,0.002525252525252597,,,4.11,0.007352941176470562
